SN,District,Administrative Division,Position,Ward,Age,Gender,Party,Votes,Status
8,Palpa,Tinau Rural Municipality,Ward President,2,43,M,Communist Party of Nepal (Maoist Centre),628,Elected
9,Palpa,Tinau Rural Municipality,Ward Member,2,44,M,Communist Party of Nepal (Maoist Centre),631,Elected
10,Palpa,Tinau Rural Municipality,Ward Member,2,46,M,Communist Party of Nepal (Maoist Centre),569,Elected
11,Palpa,Tinau Rural Municipality,Female Ward Member,2,25,F,Communist Party of Nepal (Maoist Centre),599,Elected
12,Palpa,Tinau Rural Municipality,Dalit Female Ward Member,2,47,F,Communist Party of Nepal (Maoist Centre),617,Elected
13,Palpa,Tinau Rural Municipality,Ward President,3,41,M,Nepali Congress,455,Elected
14,Palpa,Tinau Rural Municipality,Ward Member,3,48,M,Communist Party of Nepal (Maoist Centre),452,Elected
15,Palpa,Tinau Rural Municipality,Ward Member,3,49,M,Communist Party of Nepal (Maoist Centre),447,Elected
16,Palpa,Tinau Rural Municipality,Female Ward Member,3,36,F,Communist Party of Nepal (Maoist Centre),458,Elected
17,Palpa,Tinau Rural Municipality,Dalit Female Ward Member,3,60,F,Communist Party of Nepal (Maoist Centre),457,Elected
18,Palpa,Tinau Rural Municipality,Ward President,4,40,M,Nepali Congress,400,Elected
19,Palpa,Tinau Rural Municipality,Ward Member,4,49,M,Nepali Congress,366,Elected
20,Palpa,Tinau Rural Municipality,Ward Member,4,45,M,Nepali Congress,353,Elected
21,Palpa,Tinau Rural Municipality,Female Ward Member,4,31,F,Nepali Congress,388,Elected
22,Palpa,Tinau Rural Municipality,Dalit Female Ward Member,4,29,F,Nepali Congress,379,Elected
23,Palpa,Tinau Rural Municipality,Ward President,5,64,M,Communist Party of Nepal (UML),473,Elected
24,Palpa,Tinau Rural Municipality,Ward Member,5,38,M,Communist Party of Nepal (UML),483,Elected
25,Palpa,Tinau Rural Municipality,Ward Member,5,48,M,Communist Party of Nepal (UML),477,Elected
26,Palpa,Tinau Rural Municipality,Female Ward Member,5,40,F,Communist Party of Nepal (UML),485,Elected
27,Palpa,Tinau Rural Municipality,Dalit Female Ward Member,5,33,F,Communist Party of Nepal (UML),478,Elected
28,Palpa,Tinau Rural Municipality,Ward President,6,48,M,Nepali Congress,787,Elected
29,Palpa,Tinau Rural Municipality,Ward Member,6,42,M,Nepali Congress,745,Elected
30,Palpa,Tinau Rural Municipality,Ward Member,6,29,F,Nepali Congress,741,Elected
31,Palpa,Tinau Rural Municipality,Female Ward Member,6,35,F,Nepali Congress,744,Elected
32,Palpa,Tinau Rural Municipality,Dalit Female Ward Member,6,40,F,Nepali Congress,737,Elected
1,Palpa,Nisdi Rural Municipality,Mayor,  ,55,M,Communist Party of Nepal (UML),5320,Elected
2,Palpa,Nisdi Rural Municipality,Vice-Mayor,  ,43,F,Communist Party of Nepal (UML),5365,Elected
3,Palpa,Nisdi Rural Municipality,Ward President,1,38,M,Nepali Congress,768,Elected
4,Palpa,Nisdi Rural Municipality,Ward Member,1,47,M,Nepali Congress,759,Elected
5,Palpa,Nisdi Rural Municipality,Ward Member,1,42,M,Nepali Congress,755,Elected
6,Palpa,Nisdi Rural Municipality,Female Ward Member,1,36,F,Nepali Congress,764,Elected
7,Palpa,Nisdi Rural Municipality,Dalit Female Ward Member,1,34,F,Nepali Congress,760,Elected
8,Palpa,Nisdi Rural Municipality,Ward President,2,60,M,Communist Party of Nepal (UML),740,Elected
9,Palpa,Nisdi Rural Municipality,Ward Member,2,47,M,Communist Party of Nepal (UML),742,Elected
10,Palpa,Nisdi Rural Municipality,Ward Member,2,53,M,Communist Party of Nepal (UML),734,Elected
11,Palpa,Nisdi Rural Municipality,Female Ward Member,2,33,F,Communist Party of Nepal (UML),735,Elected
12,Palpa,Nisdi Rural Municipality,Dalit Female Ward Member,2,39,F,Communist Party of Nepal (UML),655,Elected
13,Palpa,Nisdi Rural Municipality,Ward President,3,46,M,Communist Party of Nepal (UML),824,Elected
14,Palpa,Nisdi Rural Municipality,Ward Member,3,45,M,Communist Party of Nepal (UML),818,Elected
15,Palpa,Nisdi Rural Municipality,Ward Member,3,59,M,Communist Party of Nepal (UML),806,Elected
16,Palpa,Nisdi Rural Municipality,Female Ward Member,3,26,F,Communist Party of Nepal (UML),826,Elected
17,Palpa,Nisdi Rural Municipality,Dalit Female Ward Member,3,28,F,Communist Party of Nepal (UML),0,Unopposed
18,Palpa,Nisdi Rural Municipality,Ward President,4,50,M,Communist Party of Nepal (UML),997,Elected
19,Palpa,Nisdi Rural Municipality,Ward Member,4,43,M,Communist Party of Nepal (UML),980,Elected
20,Palpa,Nisdi Rural Municipality,Ward Member,4,36,M,Communist Party of Nepal (UML),967,Elected
21,Palpa,Nisdi Rural Municipality,Female Ward Member,4,32,F,Communist Party of Nepal (UML),994,Elected
22,Palpa,Nisdi Rural Municipality,Dalit Female Ward Member,4,44,F,Communist Party of Nepal (UML),989,Elected
23,Palpa,Nisdi Rural Municipality,Ward President,5,46,M,Communist Party of Nepal (UML),912,Elected
24,Palpa,Nisdi Rural Municipality,Ward Member,5,47,M,Communist Party of Nepal (UML),935,Elected
25,Palpa,Nisdi Rural Municipality,Ward Member,5,53,M,Communist Party of Nepal (UML),912,Elected
26,Palpa,Nisdi Rural Municipality,Female Ward Member,5,46,F,Communist Party of Nepal (UML),942,Elected
27,Palpa,Nisdi Rural Municipality,Dalit Female Ward Member,5,41,F,Communist Party of Nepal (UML),939,Elected
28,Palpa,Nisdi Rural Municipality,Ward President,6,36,M,Communist Party of Nepal (UML),796,Elected
29,Palpa,Nisdi Rural Municipality,Ward Member,6,44,M,Communist Party of Nepal (UML),786,Elected
30,Palpa,Nisdi Rural Municipality,Ward Member,6,44,M,Communist Party of Nepal (UML),785,Elected
31,Palpa,Nisdi Rural Municipality,Female Ward Member,6,40,F,Communist Party of Nepal (UML),798,Elected
32,Palpa,Nisdi Rural Municipality,Dalit Female Ward Member,6,22,F,Communist Party of Nepal (UML),796,Elected
33,Palpa,Nisdi Rural Municipality,Ward President,7,42,M,Nepali Congress,675,Elected
34,Palpa,Nisdi Rural Municipality,Ward Member,7,55,M,Nepali Congress,687,Elected
35,Palpa,Nisdi Rural Municipality,Ward Member,7,55,M,Nepali Congress,686,Elected
36,Palpa,Nisdi Rural Municipality,Female Ward Member,7,38,F,Nepali Congress,683,Elected
37,Palpa,Nisdi Rural Municipality,Dalit Female Ward Member,7,60,F,Nepali Congress,688,Elected
1,Palpa,Purbakhola Rural Municipality,Mayor,  ,48,M,Communist Party of Nepal (UML),5636,Elected
2,Palpa,Purbakhola Rural Municipality,Vice-Mayor,  ,47,F,Communist Party of Nepal (UML),5531,Elected
3,Palpa,Purbakhola Rural Municipality,Ward President,1,62,M,Communist Party of Nepal (UML),1213,Elected
4,Palpa,Purbakhola Rural Municipality,Ward Member,1,45,M,Communist Party of Nepal (UML),1245,Elected
5,Palpa,Purbakhola Rural Municipality,Ward Member,1,45,M,Communist Party of Nepal (UML),1215,Elected
6,Palpa,Purbakhola Rural Municipality,Female Ward Member,1,73,F,Communist Party of Nepal (UML),1228,Elected
7,Palpa,Purbakhola Rural Municipality,Dalit Female Ward Member,1,33,F,Communist Party of Nepal (UML),1221,Elected
8,Palpa,Purbakhola Rural Municipality,Ward President,2,36,M,Communist Party of Nepal (UML),882,Elected
9,Palpa,Purbakhola Rural Municipality,Ward Member,2,63,M,Communist Party of Nepal (UML),890,Elected
10,Palpa,Purbakhola Rural Municipality,Ward Member,2,61,M,Communist Party of Nepal (UML),850,Elected
11,Palpa,Purbakhola Rural Municipality,Female Ward Member,2,43,F,Communist Party of Nepal (UML),888,Elected
12,Palpa,Purbakhola Rural Municipality,Dalit Female Ward Member,2,48,F,Communist Party of Nepal (UML),886,Elected
13,Palpa,Purbakhola Rural Municipality,Ward President,3,54,M,Communist Party of Nepal (UML),830,Elected
14,Palpa,Purbakhola Rural Municipality,Ward Member,3,55,M,Communist Party of Nepal (UML),834,Elected
15,Palpa,Purbakhola Rural Municipality,Ward Member,3,57,M,Communist Party of Nepal (UML),820,Elected
16,Palpa,Purbakhola Rural Municipality,Female Ward Member,3,47,F,Communist Party of Nepal (UML),863,Elected
17,Palpa,Purbakhola Rural Municipality,Dalit Female Ward Member,3,53,F,Communist Party of Nepal (UML),858,Elected
18,Palpa,Purbakhola Rural Municipality,Ward President,4,64,M,Communist Party of Nepal (UML),853,Elected
19,Palpa,Purbakhola Rural Municipality,Ward Member,4,27,M,Communist Party of Nepal (UML),832,Elected
20,Palpa,Purbakhola Rural Municipality,Ward Member,4,46,M,Communist Party of Nepal (UML),829,Elected
21,Palpa,Purbakhola Rural Municipality,Female Ward Member,4,29,F,Communist Party of Nepal (UML),849,Elected
22,Palpa,Purbakhola Rural Municipality,Dalit Female Ward Member,4,35,F,Communist Party of Nepal (UML),0,Unopposed
23,Palpa,Purbakhola Rural Municipality,Ward President,5,55,M,Communist Party of Nepal (UML),1134,Elected
24,Palpa,Purbakhola Rural Municipality,Ward Member,5,44,M,Communist Party of Nepal (UML),1150,Elected
25,Palpa,Purbakhola Rural Municipality,Ward Member,5,50,M,Communist Party of Nepal (UML),1121,Elected
26,Palpa,Purbakhola Rural Municipality,Female Ward Member,5,48,F,Communist Party of Nepal (UML),1145,Elected
27,Palpa,Purbakhola Rural Municipality,Dalit Female Ward Member,5,38,F,Communist Party of Nepal (UML),1145,Elected
28,Palpa,Purbakhola Rural Municipality,Ward President,6,37,M,Communist Party of Nepal (UML),548,Elected
29,Palpa,Purbakhola Rural Municipality,Ward Member,6,56,M,Communist Party of Nepal (UML),584,Elected
30,Palpa,Purbakhola Rural Municipality,Ward Member,6,48,M,Communist Party of Nepal (UML),574,Elected
31,Palpa,Purbakhola Rural Municipality,Female Ward Member,6,41,F,Communist Party of Nepal (UML),588,Elected
32,Palpa,Purbakhola Rural Municipality,Dalit Female Ward Member,6,48,F,Communist Party of Nepal (UML),587,Elected
1,Palpa,Baganaskali Rural Municipality,Mayor,  ,46,M,Nepali Congress,5594,Elected
2,Palpa,Baganaskali Rural Municipality,Vice-Mayor,  ,36,F,Communist Party of Nepal (UML),5555,Elected
3,Palpa,Baganaskali Rural Municipality,Ward President,1,54,M,Communist Party of Nepal (UML),842,Elected
4,Palpa,Baganaskali Rural Municipality,Ward Member,1,66,M,Communist Party of Nepal (UML),934,Elected
5,Palpa,Baganaskali Rural Municipality,Ward Member,1,52,M,Communist Party of Nepal (UML),868,Elected
6,Palpa,Baganaskali Rural Municipality,Female Ward Member,1,49,F,Communist Party of Nepal (UML),949,Elected
7,Palpa,Baganaskali Rural Municipality,Dalit Female Ward Member,1,59,F,Communist Party of Nepal (UML),972,Elected
8,Palpa,Baganaskali Rural Municipality,Ward President,2,65,M,Communist Party of Nepal (UML),443,Elected
9,Palpa,Baganaskali Rural Municipality,Ward Member,2,44,M,Communist Party of Nepal (UML),511,Elected
10,Palpa,Baganaskali Rural Municipality,Ward Member,2,40,M,Nepali Congress,455,Elected
11,Palpa,Baganaskali Rural Municipality,Female Ward Member,2,51,F,Nepali Congress,532,Elected
12,Palpa,Baganaskali Rural Municipality,Dalit Female Ward Member,2,31,F,Communist Party of Nepal (UML),466,Elected
13,Palpa,Baganaskali Rural Municipality,Ward President,3,32,M,Communist Party of Nepal (UML),631,Elected
14,Palpa,Baganaskali Rural Municipality,Ward Member,3,36,M,Nepali Congress,616,Elected
15,Palpa,Baganaskali Rural Municipality,Ward Member,3,63,M,Communist Party of Nepal (UML),610,Elected
16,Palpa,Baganaskali Rural Municipality,Female Ward Member,3,37,F,Communist Party of Nepal (UML),630,Elected
17,Palpa,Baganaskali Rural Municipality,Dalit Female Ward Member,3,47,F,Communist Party of Nepal (UML),627,Elected
18,Palpa,Baganaskali Rural Municipality,Ward President,4,37,M,Nepali Congress,547,Elected
19,Palpa,Baganaskali Rural Municipality,Ward Member,4,48,M,Communist Party of Nepal (UML),486,Elected
20,Palpa,Baganaskali Rural Municipality,Ward Member,4,57,M,Communist Party of Nepal (UML),453,Elected
21,Palpa,Baganaskali Rural Municipality,Female Ward Member,4,38,F,Communist Party of Nepal (UML),512,Elected
22,Palpa,Baganaskali Rural Municipality,Dalit Female Ward Member,4,45,F,Nepali Congress,519,Elected
23,Palpa,Baganaskali Rural Municipality,Ward President,5,45,M,Communist Party of Nepal (UML),676,Elected
24,Palpa,Baganaskali Rural Municipality,Ward Member,5,44,M,Communist Party of Nepal (UML),658,Elected
25,Palpa,Baganaskali Rural Municipality,Ward Member,5,47,M,Communist Party of Nepal (UML),656,Elected
26,Palpa,Baganaskali Rural Municipality,Female Ward Member,5,43,F,Communist Party of Nepal (UML),663,Elected
27,Palpa,Baganaskali Rural Municipality,Dalit Female Ward Member,5,44,F,Communist Party of Nepal (UML),672,Elected
28,Palpa,Baganaskali Rural Municipality,Ward President,6,41,M,Nepali Congress,1011,Elected
29,Palpa,Baganaskali Rural Municipality,Ward Member,6,49,M,Communist Party of Nepal (UML),923,Elected
30,Palpa,Baganaskali Rural Municipality,Ward Member,6,65,M,Communist Party of Nepal (UML),920,Elected
31,Palpa,Baganaskali Rural Municipality,Female Ward Member,6,41,F,Communist Party of Nepal (UML),923,Elected
32,Palpa,Baganaskali Rural Municipality,Dalit Female Ward Member,6,35,F,Communist Party of Nepal (UML),925,Elected
33,Palpa,Baganaskali Rural Municipality,Ward President,7,52,M,Nepali Congress,599,Elected
34,Palpa,Baganaskali Rural Municipality,Ward Member,7,49,F,Nepali Congress,613,Elected
35,Palpa,Baganaskali Rural Municipality,Ward Member,7,36,M,Nepali Congress,609,Elected
36,Palpa,Baganaskali Rural Municipality,Female Ward Member,7,45,F,Nepali Congress,616,Elected
37,Palpa,Baganaskali Rural Municipality,Dalit Female Ward Member,7,38,F,Nepali Congress,607,Elected
38,Palpa,Baganaskali Rural Municipality,Ward President,8,67,M,Nepali Congress,310,Elected
39,Palpa,Baganaskali Rural Municipality,Ward Member,8,65,M,Nepali Congress,315,Elected
40,Palpa,Baganaskali Rural Municipality,Ward Member,8,29,M,Nepali Congress,302,Elected
41,Palpa,Baganaskali Rural Municipality,Female Ward Member,8,49,F,Nepali Congress,315,Elected
42,Palpa,Baganaskali Rural Municipality,Dalit Female Ward Member,8,28,F,Nepali Congress,313,Elected
43,Palpa,Baganaskali Rural Municipality,Ward President,9,48,M,Nepali Congress,519,Elected
44,Palpa,Baganaskali Rural Municipality,Ward Member,9,51,M,Nepali Congress,511,Elected
45,Palpa,Baganaskali Rural Municipality,Ward Member,9,66,M,Nepali Congress,503,Elected
46,Palpa,Baganaskali Rural Municipality,Female Ward Member,9,38,F,Nepali Congress,490,Elected
47,Palpa,Baganaskali Rural Municipality,Dalit Female Ward Member,9,42,F,Nepali Congress,510,Elected
1,Palpa,Mathagadhi Rural Municipality,Mayor,  ,34,M,Nepali Congress,5799,Elected
2,Palpa,Mathagadhi Rural Municipality,Vice-Mayor,  ,36,F,Nepali Congress,5431,Elected
3,Palpa,Mathagadhi Rural Municipality,Ward President,1,68,M,Nepali Congress,951,Elected
4,Palpa,Mathagadhi Rural Municipality,Ward Member,1,47,M,Nepali Congress,847,Elected
5,Palpa,Mathagadhi Rural Municipality,Ward Member,1,61,M,Nepali Congress,821,Elected
6,Palpa,Mathagadhi Rural Municipality,Female Ward Member,1,58,F,Nepali Congress,897,Elected
7,Palpa,Mathagadhi Rural Municipality,Dalit Female Ward Member,1,59,F,Nepali Congress,907,Elected
8,Palpa,Mathagadhi Rural Municipality,Ward President,2,34,M,Nepali Congress,512,Elected
9,Palpa,Mathagadhi Rural Municipality,Ward Member,2,62,M,Nepali Congress,485,Elected
10,Palpa,Mathagadhi Rural Municipality,Ward Member,2,29,M,Nepali Congress,479,Elected
11,Palpa,Mathagadhi Rural Municipality,Female Ward Member,2,40,F,Nepali Congress,508,Elected
12,Palpa,Mathagadhi Rural Municipality,Dalit Female Ward Member,2,30,F,Nepali Congress,499,Elected
13,Palpa,Mathagadhi Rural Municipality,Ward President,3,34,M,Nepali Congress,1229,Elected
14,Palpa,Mathagadhi Rural Municipality,Ward Member,3,27,M,Nepali Congress,1180,Elected
15,Palpa,Mathagadhi Rural Municipality,Ward Member,3,37,M,Nepali Congress,1174,Elected
16,Palpa,Mathagadhi Rural Municipality,Female Ward Member,3,39,F,Nepali Congress,1200,Elected
17,Palpa,Mathagadhi Rural Municipality,Dalit Female Ward Member,3,30,F,Nepali Congress,1189,Elected
18,Palpa,Mathagadhi Rural Municipality,Ward President,4,33,M,Nepali Congress,809,Elected
19,Palpa,Mathagadhi Rural Municipality,Ward Member,4,55,M,Nepali Congress,799,Elected
20,Palpa,Mathagadhi Rural Municipality,Ward Member,4,41,M,Nepali Congress,796,Elected
21,Palpa,Mathagadhi Rural Municipality,Female Ward Member,4,31,F,Nepali Congress,807,Elected
22,Palpa,Mathagadhi Rural Municipality,Dalit Female Ward Member,4,33,F,Nepali Congress,799,Elected
23,Palpa,Mathagadhi Rural Municipality,Ward President,5,35,M,Nepali Congress,470,Elected
24,Palpa,Mathagadhi Rural Municipality,Ward Member,5,50,M,Nepali Congress,480,Elected
25,Palpa,Mathagadhi Rural Municipality,Ward Member,5,44,M,Nepali Congress,469,Elected
26,Palpa,Mathagadhi Rural Municipality,Female Ward Member,5,28,F,Nepali Congress,477,Elected
27,Palpa,Mathagadhi Rural Municipality,Dalit Female Ward Member,5,31,F,Nepali Congress,474,Elected
28,Palpa,Mathagadhi Rural Municipality,Ward President,6,66,M,Nepali Congress,685,Elected
29,Palpa,Mathagadhi Rural Municipality,Ward Member,6,51,M,Nepali Congress,687,Elected
30,Palpa,Mathagadhi Rural Municipality,Ward Member,6,58,M,Nepali Congress,672,Elected
31,Palpa,Mathagadhi Rural Municipality,Female Ward Member,6,26,F,Nepali Congress,679,Elected
32,Palpa,Mathagadhi Rural Municipality,Dalit Female Ward Member,6,36,F,Nepali Congress,686,Elected
33,Palpa,Mathagadhi Rural Municipality,Ward President,7,55,M,Nepali Congress,552,Elected
34,Palpa,Mathagadhi Rural Municipality,Ward Member,7,42,M,Nepali Congress,565,Elected
35,Palpa,Mathagadhi Rural Municipality,Ward Member,7,53,M,Nepali Congress,539,Elected
36,Palpa,Mathagadhi Rural Municipality,Female Ward Member,7,45,F,Nepali Congress,566,Elected
37,Palpa,Mathagadhi Rural Municipality,Dalit Female Ward Member,7,27,F,Nepali Congress,562,Elected
38,Palpa,Mathagadhi Rural Municipality,Ward President,8,44,M,Nepali Congress,382,Elected
39,Palpa,Mathagadhi Rural Municipality,Ward Member,8,31,M,Nepali Congress,382,Elected
40,Palpa,Mathagadhi Rural Municipality,Ward Member,8,51,M,Nepali Congress,382,Elected
41,Palpa,Mathagadhi Rural Municipality,Female Ward Member,8,28,F,Nepali Congress,382,Elected
42,Palpa,Mathagadhi Rural Municipality,Dalit Female Ward Member,8,38,F,Nepali Congress,387,Elected
1,Palpa,Rambha Rural Municipality,Mayor,  ,48,M,Communist Party of Nepal (UML),4767,Elected
2,Palpa,Rambha Rural Municipality,Vice-Mayor,  ,50,F,Communist Party of Nepal (UML),4804,Elected
3,Palpa,Rambha Rural Municipality,Ward President,1,53,M,Communist Party of Nepal (UML),1329,Elected
4,Palpa,Rambha Rural Municipality,Ward Member,1,63,M,Communist Party of Nepal (UML),1260,Elected
5,Palpa,Rambha Rural Municipality,Ward Member,1,53,M,Communist Party of Nepal (UML),1215,Elected
6,Palpa,Rambha Rural Municipality,Female Ward Member,1,42,F,Communist Party of Nepal (UML),1337,Elected
7,Palpa,Rambha Rural Municipality,Dalit Female Ward Member,1,42,F,Communist Party of Nepal (UML),1304,Elected
8,Palpa,Rambha Rural Municipality,Ward President,2,54,M,Communist Party of Nepal (UML),867,Elected
9,Palpa,Rambha Rural Municipality,Ward Member,2,40,M,Communist Party of Nepal (UML),869,Elected
10,Palpa,Rambha Rural Municipality,Ward Member,2,38,M,Communist Party of Nepal (UML),849,Elected
11,Palpa,Rambha Rural Municipality,Female Ward Member,2,50,F,Communist Party of Nepal (UML),880,Elected
12,Palpa,Rambha Rural Municipality,Dalit Female Ward Member,2,26,F,Communist Party of Nepal (UML),878,Elected
13,Palpa,Rambha Rural Municipality,Ward President,3,55,M,Nepali Congress,1324,Elected
14,Palpa,Rambha Rural Municipality,Ward Member,3,32,M,Nepali Congress,1358,Elected
15,Palpa,Rambha Rural Municipality,Ward Member,3,37,M,Nepali Congress,1354,Elected
16,Palpa,Rambha Rural Municipality,Female Ward Member,3,28,F,Nepali Congress,1346,Elected
17,Palpa,Rambha Rural Municipality,Dalit Female Ward Member,3,36,F,Nepali Congress,1334,Elected
18,Palpa,Rambha Rural Municipality,Ward President,4,52,M,Communist Party of Nepal (UML),671,Elected
19,Palpa,Rambha Rural Municipality,Ward Member,4,32,M,Communist Party of Nepal (UML),654,Elected
20,Palpa,Rambha Rural Municipality,Ward Member,4,58,M,Communist Party of Nepal (UML),649,Elected
21,Palpa,Rambha Rural Municipality,Female Ward Member,4,37,F,Nepali Congress,654,Elected
22,Palpa,Rambha Rural Municipality,Dalit Female Ward Member,4,38,F,Communist Party of Nepal (UML),658,Elected
23,Palpa,Rambha Rural Municipality,Ward President,5,60,M,Communist Party of Nepal (UML),919,Elected
24,Palpa,Rambha Rural Municipality,Ward Member,5,50,M,Communist Party of Nepal (UML),921,Elected
25,Palpa,Rambha Rural Municipality,Ward Member,5,39,M,Communist Party of Nepal (UML),908,Elected
26,Palpa,Rambha Rural Municipality,Female Ward Member,5,51,F,Communist Party of Nepal (UML),886,Elected
27,Palpa,Rambha Rural Municipality,Dalit Female Ward Member,5,42,F,Communist Party of Nepal (UML),939,Elected
1,Palpa,Rampur Urban Municipality,Mayor,  ,47,M,Nepali Congress,8885,Elected
2,Palpa,Rampur Urban Municipality,Vice-Mayor,  ,40,F,Nepali Congress,8528,Elected
3,Palpa,Rampur Urban Municipality,Ward President,1,55,M,Communist Party of Nepal (UML),785,Elected
4,Palpa,Rampur Urban Municipality,Ward Member,1,45,M,Communist Party of Nepal (UML),837,Elected
5,Palpa,Rampur Urban Municipality,Ward Member,1,46,M,Communist Party of Nepal (UML),810,Elected
6,Palpa,Rampur Urban Municipality,Female Ward Member,1,51,F,Communist Party of Nepal (UML),837,Elected
7,Palpa,Rampur Urban Municipality,Dalit Female Ward Member,1,42,F,Communist Party of Nepal (UML),829,Elected
8,Palpa,Rampur Urban Municipality,Ward President,2,53,M,Nepali Congress,568,Elected
9,Palpa,Rampur Urban Municipality,Ward Member,2,59,M,Nepali Congress,589,Elected
10,Palpa,Rampur Urban Municipality,Ward Member,2,70,M,Nepali Congress,584,Elected
11,Palpa,Rampur Urban Municipality,Female Ward Member,2,35,F,Nepali Congress,584,Elected
12,Palpa,Rampur Urban Municipality,Dalit Female Ward Member,2,29,F,Nepali Congress,584,Elected
13,Palpa,Rampur Urban Municipality,Ward President,3,65,M,Communist Party of Nepal (UML),1094,Elected
14,Palpa,Rampur Urban Municipality,Ward Member,3,50,M,Communist Party of Nepal (UML),1109,Elected
15,Palpa,Rampur Urban Municipality,Ward Member,3,59,M,Communist Party of Nepal (UML),1105,Elected
16,Palpa,Rampur Urban Municipality,Female Ward Member,3,47,F,Communist Party of Nepal (UML),1130,Elected
17,Palpa,Rampur Urban Municipality,Dalit Female Ward Member,3,40,F,Communist Party of Nepal (UML),1120,Elected
18,Palpa,Rampur Urban Municipality,Ward President,4,54,M,Nepali Congress,994,Elected
19,Palpa,Rampur Urban Municipality,Ward Member,4,37,M,Nepali Congress,970,Elected
20,Palpa,Rampur Urban Municipality,Ward Member,4,62,M,Nepali Congress,945,Elected
21,Palpa,Rampur Urban Municipality,Female Ward Member,4,35,F,Nepali Congress,984,Elected
22,Palpa,Rampur Urban Municipality,Dalit Female Ward Member,4,29,F,Nepali Congress,985,Elected
23,Palpa,Rampur Urban Municipality,Ward President,5,56,M,Nepali Congress,1467,Elected
24,Palpa,Rampur Urban Municipality,Ward Member,5,47,M,Nepali Congress,1477,Elected
25,Palpa,Rampur Urban Municipality,Ward Member,5,46,M,Nepali Congress,1433,Elected
26,Palpa,Rampur Urban Municipality,Female Ward Member,5,39,F,Nepali Congress,1467,Elected
27,Palpa,Rampur Urban Municipality,Dalit Female Ward Member,5,39,F,Nepali Congress,1459,Elected
28,Palpa,Rampur Urban Municipality,Ward President,6,47,M,Nepali Congress,1080,Elected
29,Palpa,Rampur Urban Municipality,Ward Member,6,36,M,Nepali Congress,1110,Elected
30,Palpa,Rampur Urban Municipality,Ward Member,6,65,M,Nepali Congress,1071,Elected
31,Palpa,Rampur Urban Municipality,Female Ward Member,6,47,F,Nepali Congress,1107,Elected
32,Palpa,Rampur Urban Municipality,Dalit Female Ward Member,6,34,F,Nepali Congress,1105,Elected
33,Palpa,Rampur Urban Municipality,Ward President,7,55,M,Nepali Congress,795,Elected
34,Palpa,Rampur Urban Municipality,Ward Member,7,29,M,Nepali Congress,769,Elected
35,Palpa,Rampur Urban Municipality,Ward Member,7,50,M,Communist Party of Nepal (UML),766,Elected
36,Palpa,Rampur Urban Municipality,Female Ward Member,7,30,F,Nepali Congress,802,Elected
37,Palpa,Rampur Urban Municipality,Dalit Female Ward Member,7,39,F,Nepali Congress,806,Elected
38,Palpa,Rampur Urban Municipality,Ward President,8,53,M,Nepali Congress,903,Elected
39,Palpa,Rampur Urban Municipality,Ward Member,8,50,M,Nepali Congress,911,Elected
40,Palpa,Rampur Urban Municipality,Ward Member,8,52,M,Communist Party of Nepal (UML),860,Elected
41,Palpa,Rampur Urban Municipality,Female Ward Member,8,26,F,Nepali Congress,902,Elected
42,Palpa,Rampur Urban Municipality,Dalit Female Ward Member,8,36,F,Nepali Congress,912,Elected
43,Palpa,Rampur Urban Municipality,Ward President,9,50,M,Communist Party of Nepal (UML),667,Elected
44,Palpa,Rampur Urban Municipality,Ward Member,9,45,M,Communist Party of Nepal (UML),677,Elected
45,Palpa,Rampur Urban Municipality,Ward Member,9,31,M,Communist Party of Nepal (UML),674,Elected
46,Palpa,Rampur Urban Municipality,Female Ward Member,9,27,F,Communist Party of Nepal (UML),676,Elected
47,Palpa,Rampur Urban Municipality,Dalit Female Ward Member,9,31,F,Communist Party of Nepal (UML),671,Elected
48,Palpa,Rampur Urban Municipality,Ward President,10,51,M,Communist Party of Nepal (UML),1213,Elected
49,Palpa,Rampur Urban Municipality,Ward Member,10,55,M,Communist Party of Nepal (UML),1251,Elected
50,Palpa,Rampur Urban Municipality,Ward Member,10,45,M,Communist Party of Nepal (UML),1230,Elected
51,Palpa,Rampur Urban Municipality,Female Ward Member,10,46,F,Communist Party of Nepal (UML),1249,Elected
52,Palpa,Rampur Urban Municipality,Dalit Female Ward Member,10,33,F,Communist Party of Nepal (UML),1243,Elected
1,Palpa,Ribdikot Rural Municipality,Mayor,  ,56,M,Communist Party of Nepal (UML),3693,Elected
2,Palpa,Ribdikot Rural Municipality,Vice-Mayor,  ,53,F,Communist Party of Nepal (UML),3798,Elected
3,Palpa,Ribdikot Rural Municipality,Ward President,1,51,M,Nepali Congress,604,Elected
4,Palpa,Ribdikot Rural Municipality,Ward Member,1,34,M,Nepali Congress,558,Elected
5,Palpa,Ribdikot Rural Municipality,Ward Member,1,57,M,Nepali Congress,551,Elected
6,Palpa,Ribdikot Rural Municipality,Female Ward Member,1,31,F,Nepali Congress,563,Elected
7,Palpa,Ribdikot Rural Municipality,Dalit Female Ward Member,1,29,F,Nepali Congress,559,Elected
8,Palpa,Ribdikot Rural Municipality,Ward President,2,58,M,Communist Party of Nepal (UML),574,Elected
9,Palpa,Ribdikot Rural Municipality,Ward Member,2,33,M,Communist Party of Nepal (UML),616,Elected
10,Palpa,Ribdikot Rural Municipality,Ward Member,2,46,M,Communist Party of Nepal (UML),595,Elected
