SN,Province,District,Administrative Division,Position,Ward,Age,Gender,Party,Vote,Status
31,Province 2,Saptari,Agnisair Krishna Sabaran Rural Municipality,Female Ward Member,6,51,F,Communist Party of Nepal (UML),472,Elected
32,Province 2,Saptari,Agnisair Krishna Sabaran Rural Municipality,Dalit Female Ward Member,6,44,F,Communist Party of Nepal (UML),501,Elected
33,Province 2,Saptari,Kanchanrup Urban Municipality,Mayor,,61,M,Communist Party of Nepal (UML),"5,042",Elected
34,Province 2,Saptari,Kanchanrup Urban Municipality,Vice Mayor,,58,F,Nepali Congress,"4,758",Elected
35,Province 2,Saptari,Kanchanrup Urban Municipality,Ward President,1,45,M,Nepali Congress,465,Elected
36,Province 2,Saptari,Kanchanrup Urban Municipality,Ward Member,1,46,M,Nepali Congress,504,Elected
37,Province 2,Saptari,Kanchanrup Urban Municipality,Ward Member,1,35,M,Nepali Congress,480,Elected
38,Province 2,Saptari,Kanchanrup Urban Municipality,Female Ward Member,1,38,F,Nepali Congress,468,Elected
39,Province 2,Saptari,Kanchanrup Urban Municipality,Dalit Female Ward Member,1,36,F,Nepali Congress,474,Elected
40,Province 2,Saptari,Kanchanrup Urban Municipality,Ward President,2,66,M,Nepali Congress,417,Elected
41,Province 2,Saptari,Kanchanrup Urban Municipality,Ward Member,2,51,M,Nepali Congress,377,Elected
42,Province 2,Saptari,Kanchanrup Urban Municipality,Ward Member,2,52,M,Nepali Congress,338,Elected
43,Province 2,Saptari,Kanchanrup Urban Municipality,Female Ward Member,2,61,F,Nepali Congress,412,Elected
44,Province 2,Saptari,Kanchanrup Urban Municipality,Dalit Female Ward Member,2,42,F,Nepali Congress,382,Elected
45,Province 2,Saptari,Kanchanrup Urban Municipality,Ward President,3,61,M,Nepali Congress,330,Elected
46,Province 2,Saptari,Kanchanrup Urban Municipality,Ward Member,3,68,M,Nepali Congress,319,Elected
47,Province 2,Saptari,Kanchanrup Urban Municipality,Ward Member,3,45,M,Nepali Congress,316,Elected
48,Province 2,Saptari,Kanchanrup Urban Municipality,Female Ward Member,3,32,F,Nepali Congress,313,Elected
49,Province 2,Saptari,Kanchanrup Urban Municipality,Dalit Female Ward Member,3,61,F,Nepali Congress,321,Elected
50,Province 2,Saptari,Kanchanrup Urban Municipality,Ward President,4,66,M,Communist Party of Nepal (UML),380,Elected
51,Province 2,Saptari,Kanchanrup Urban Municipality,Ward Member,4,59,M,Communist Party of Nepal (UML),414,Elected
52,Province 2,Saptari,Kanchanrup Urban Municipality,Ward Member,4,62,M,Communist Party of Nepal (UML),413,Elected
53,Province 2,Saptari,Kanchanrup Urban Municipality,Female Ward Member,4,46,F,Nepali Congress,442,Elected
54,Province 2,Saptari,Kanchanrup Urban Municipality,Dalit Female Ward Member,4,26,F,Nepali Congress,399,Elected
55,Province 2,Saptari,Kanchanrup Urban Municipality,Ward President,5,35,M,Nepali Congress,441,Elected
56,Province 2,Saptari,Kanchanrup Urban Municipality,Ward Member,5,47,M,Nepali Congress,427,Elected
57,Province 2,Saptari,Kanchanrup Urban Municipality,Ward Member,5,61,M,Nepali Congress,409,Elected
58,Province 2,Saptari,Kanchanrup Urban Municipality,Female Ward Member,5,50,F,Nepali Congress,433,Elected
59,Province 2,Saptari,Kanchanrup Urban Municipality,Dalit Female Ward Member,5,41,F,Nepali Congress,435,Elected
60,Province 2,Saptari,Kanchanrup Urban Municipality,Ward President,6,43,M,Nepali Congress,572,Elected
61,Province 2,Saptari,Kanchanrup Urban Municipality,Ward Member,6,47,M,Nepali Congress,566,Elected
62,Province 2,Saptari,Kanchanrup Urban Municipality,Ward Member,6,38,M,Nepali Congress,561,Elected
63,Province 2,Saptari,Kanchanrup Urban Municipality,Female Ward Member,6,34,F,Nepali Congress,605,Elected
64,Province 2,Saptari,Kanchanrup Urban Municipality,Dalit Female Ward Member,6,31,F,Nepali Congress,570,Elected
65,Province 2,Saptari,Kanchanrup Urban Municipality,Ward President,7,44,M,"Rastriya Janata Party, Nepal",490,Elected
66,Province 2,Saptari,Kanchanrup Urban Municipality,Ward Member,7,50,F,"Rastriya Janata Party, Nepal",538,Elected
67,Province 2,Saptari,Kanchanrup Urban Municipality,Ward Member,7,43,M,"Rastriya Janata Party, Nepal",521,Elected
68,Province 2,Saptari,Kanchanrup Urban Municipality,Female Ward Member,7,44,F,"Rastriya Janata Party, Nepal",583,Elected
69,Province 2,Saptari,Kanchanrup Urban Municipality,Dalit Female Ward Member,7,46,F,"Rastriya Janata Party, Nepal",562,Elected
70,Province 2,Saptari,Kanchanrup Urban Municipality,Ward President,8,49,M,Communist Party of Nepal (UML),667,Elected
71,Province 2,Saptari,Kanchanrup Urban Municipality,Ward Member,8,59,M,Communist Party of Nepal (UML),632,Elected
72,Province 2,Saptari,Kanchanrup Urban Municipality,Ward Member,8,30,M,Communist Party of Nepal (UML),583,Elected
73,Province 2,Saptari,Kanchanrup Urban Municipality,Female Ward Member,8,63,F,Communist Party of Nepal (UML),640,Elected
74,Province 2,Saptari,Kanchanrup Urban Municipality,Dalit Female Ward Member,8,41,F,Communist Party of Nepal (UML),641,Elected
75,Province 2,Saptari,Kanchanrup Urban Municipality,Ward President,9,45,M,Communist Party of Nepal (UML),376,Elected
76,Province 2,Saptari,Kanchanrup Urban Municipality,Ward Member,9,47,M,Communist Party of Nepal (UML),376,Elected
77,Province 2,Saptari,Kanchanrup Urban Municipality,Ward Member,9,46,M,Nepal Loktantric Forum,344,Elected
78,Province 2,Saptari,Kanchanrup Urban Municipality,Female Ward Member,9,51,F,Communist Party of Nepal (UML),386,Elected
79,Province 2,Saptari,Kanchanrup Urban Municipality,Dalit Female Ward Member,9,54,F,Communist Party of Nepal (UML),387,Elected
80,Province 2,Saptari,Kanchanrup Urban Municipality,Ward President,10,44,M,Communist Party of Nepal (Maoist Centre),360,Elected
81,Province 2,Saptari,Kanchanrup Urban Municipality,Ward Member,10,35,M,Sanghiya Samajbadi Forum-Nepal (SSFN),321,Elected
82,Province 2,Saptari,Kanchanrup Urban Municipality,Ward Member,10,46,F,Communist Party of Nepal (Maoist Centre),320,Elected
83,Province 2,Saptari,Kanchanrup Urban Municipality,Female Ward Member,10,52,F,Sanghiya Samajbadi Forum-Nepal (SSFN),323,Elected
84,Province 2,Saptari,Kanchanrup Urban Municipality,Dalit Female Ward Member,10,52,F,Sanghiya Samajbadi Forum-Nepal (SSFN),334,Elected
85,Province 2,Saptari,Kanchanrup Urban Municipality,Ward President,11,45,M,Nepal Loktantric Forum,608,Elected
86,Province 2,Saptari,Kanchanrup Urban Municipality,Ward Member,11,51,M,Nepal Loktantric Forum,589,Elected
87,Province 2,Saptari,Kanchanrup Urban Municipality,Ward Member,11,34,M,Nepal Loktantric Forum,528,Elected
88,Province 2,Saptari,Kanchanrup Urban Municipality,Female Ward Member,11,41,F,Nepal Loktantric Forum,574,Elected
89,Province 2,Saptari,Kanchanrup Urban Municipality,Dalit Female Ward Member,11,39,F,Nepal Loktantric Forum,578,Elected
90,Province 2,Saptari,Kanchanrup Urban Municipality,Ward President,12,61,M,Communist Party of Nepal (UML),766,Elected
91,Province 2,Saptari,Kanchanrup Urban Municipality,Ward Member,12,41,M,Communist Party of Nepal (UML),842,Elected
92,Province 2,Saptari,Kanchanrup Urban Municipality,Ward Member,12,59,M,Communist Party of Nepal (UML),780,Elected
93,Province 2,Saptari,Kanchanrup Urban Municipality,Female Ward Member,12,53,F,Communist Party of Nepal (UML),848,Elected
94,Province 2,Saptari,Kanchanrup Urban Municipality,Dalit Female Ward Member,12,44,F,Communist Party of Nepal (UML),834,Elected
95,Province 2,Saptari,Khadak Urban Municipality,Mayor,,27,M,Sanghiya Samajbadi Forum-Nepal (SSFN),"3,128",Elected
96,Province 2,Saptari,Khadak Urban Municipality,Vice Mayor,,40,F,Nepali Congress,"3,237",Elected
97,Province 2,Saptari,Khadak Urban Municipality,Ward President,1,40,M,Nepali Congress,567,Elected
98,Province 2,Saptari,Khadak Urban Municipality,Ward Member,1,33,M,Nepali Congress,596,Elected
99,Province 2,Saptari,Khadak Urban Municipality,Ward Member,1,50,M,Nepali Congress,537,Elected
100,Province 2,Saptari,Khadak Urban Municipality,Female Ward Member,1,33,F,Nepali Congress,557,Elected
101,Province 2,Saptari,Khadak Urban Municipality,Dalit Female Ward Member,1,33,F,Nepali Congress,556,Elected
102,Province 2,Saptari,Khadak Urban Municipality,Ward President,2,47,M,Nepali Congress,202,Elected
103,Province 2,Saptari,Khadak Urban Municipality,Ward Member,2,58,M,Communist Party of Nepal (UML),229,Elected
104,Province 2,Saptari,Khadak Urban Municipality,Ward Member,2,68,M,Communist Party of Nepal (UML),191,Elected
105,Province 2,Saptari,Khadak Urban Municipality,Female Ward Member,2,47,F,Communist Party of Nepal (UML),188,Elected
106,Province 2,Saptari,Khadak Urban Municipality,Dalit Female Ward Member,2,57,F,Communist Party of Nepal (UML),188,Elected
107,Province 2,Saptari,Khadak Urban Municipality,Ward President,3,59,M,Nepali Congress,708,Elected
108,Province 2,Saptari,Khadak Urban Municipality,Ward Member,3,28,F,Nepali Congress,632,Elected
109,Province 2,Saptari,Khadak Urban Municipality,Ward Member,3,79,M,Nepali Congress,553,Elected
110,Province 2,Saptari,Khadak Urban Municipality,Female Ward Member,3,48,F,Nepali Congress,537,Elected
111,Province 2,Saptari,Khadak Urban Municipality,Dalit Female Ward Member,3,55,F,Nepali Congress,555,Elected
112,Province 2,Saptari,Khadak Urban Municipality,Ward President,4,50,M,Nepal Loktantric Forum,521,Elected
113,Province 2,Saptari,Khadak Urban Municipality,Ward Member,4,38,M,Nepal Loktantric Forum,480,Elected
114,Province 2,Saptari,Khadak Urban Municipality,Ward Member,4,50,M,Nepal Loktantric Forum,467,Elected
115,Province 2,Saptari,Khadak Urban Municipality,Female Ward Member,4,29,F,Nepal Loktantric Forum,503,Elected
116,Province 2,Saptari,Khadak Urban Municipality,Dalit Female Ward Member,4,24,F,Nepal Loktantric Forum,471,Elected
117,Province 2,Saptari,Khadak Urban Municipality,Ward President,5,46,M,Communist Party of Nepal (UML),645,Elected
118,Province 2,Saptari,Khadak Urban Municipality,Ward Member,5,62,M,Communist Party of Nepal (UML),620,Elected
119,Province 2,Saptari,Khadak Urban Municipality,Ward Member,5,40,M,Communist Party of Nepal (UML),590,Elected
120,Province 2,Saptari,Khadak Urban Municipality,Female Ward Member,5,55,F,Communist Party of Nepal (UML),661,Elected
121,Province 2,Saptari,Khadak Urban Municipality,Dalit Female Ward Member,5,53,F,Communist Party of Nepal (UML),637,Elected
122,Province 2,Saptari,Khadak Urban Municipality,Ward President,6,43,M,Nepal Loktantric Forum,351,Elected
123,Province 2,Saptari,Khadak Urban Municipality,Ward Member,6,36,F,Nepal Loktantric Forum,224,Elected
124,Province 2,Saptari,Khadak Urban Municipality,Ward Member,6,54,M,Communist Party of Nepal (Maoist Centre),201,Elected
125,Province 2,Saptari,Khadak Urban Municipality,Female Ward Member,6,47,F,Nepal Loktantric Forum,266,Elected
126,Province 2,Saptari,Khadak Urban Municipality,Dalit Female Ward Member,6,53,F,Nepal Loktantric Forum,237,Elected
127,Province 2,Saptari,Khadak Urban Municipality,Ward President,7,26,M,Sanghiya Samajbadi Forum-Nepal (SSFN),285,Elected
128,Province 2,Saptari,Khadak Urban Municipality,Ward Member,7,58,M,Nepali Congress,214,Elected
129,Province 2,Saptari,Khadak Urban Municipality,Ward Member,7,50,M,Sanghiya Samajbadi Forum-Nepal (SSFN),196,Elected
130,Province 2,Saptari,Khadak Urban Municipality,Female Ward Member,7,32,F,Communist Party of Nepal (UML),196,Elected
131,Province 2,Saptari,Khadak Urban Municipality,Dalit Female Ward Member,7,43,F,Sanghiya Samajbadi Forum-Nepal (SSFN),200,Elected
132,Province 2,Saptari,Khadak Urban Municipality,Ward President,8,41,M,Sanghiya Samajbadi Forum-Nepal (SSFN),437,Elected
133,Province 2,Saptari,Khadak Urban Municipality,Ward Member,8,25,M,Sanghiya Samajbadi Forum-Nepal (SSFN),422,Elected
134,Province 2,Saptari,Khadak Urban Municipality,Ward Member,8,45,M,Sanghiya Samajbadi Forum-Nepal (SSFN),402,Elected
135,Province 2,Saptari,Khadak Urban Municipality,Female Ward Member,8,29,F,Sanghiya Samajbadi Forum-Nepal (SSFN),408,Elected
136,Province 2,Saptari,Khadak Urban Municipality,Dalit Female Ward Member,8,46,F,Sanghiya Samajbadi Forum-Nepal (SSFN),424,Elected
137,Province 2,Saptari,Khadak Urban Municipality,Ward President,9,43,M,Nepali Congress,681,Elected
138,Province 2,Saptari,Khadak Urban Municipality,Ward Member,9,52,M,Nepali Congress,555,Elected
139,Province 2,Saptari,Khadak Urban Municipality,Ward Member,9,56,M,Nepali Congress,502,Elected
140,Province 2,Saptari,Khadak Urban Municipality,Female Ward Member,9,35,F,Nepali Congress,628,Elected
141,Province 2,Saptari,Khadak Urban Municipality,Dalit Female Ward Member,9,38,F,Nepali Congress,631,Elected
142,Province 2,Saptari,Khadak Urban Municipality,Ward President,10,51,M,Nepali Congress,560,Elected
143,Province 2,Saptari,Khadak Urban Municipality,Ward Member,10,54,M,Nepali Congress,549,Elected
144,Province 2,Saptari,Khadak Urban Municipality,Ward Member,10,28,M,Nepali Congress,502,Elected
145,Province 2,Saptari,Khadak Urban Municipality,Female Ward Member,10,49,F,Nepali Congress,547,Elected
146,Province 2,Saptari,Khadak Urban Municipality,Dalit Female Ward Member,10,43,F,Nepali Congress,522,Elected
147,Province 2,Saptari,Khadak Urban Municipality,Ward President,11,33,M,Sanghiya Samajbadi Forum-Nepal (SSFN),796,Elected
148,Province 2,Saptari,Khadak Urban Municipality,Ward Member,11,37,M,Sanghiya Samajbadi Forum-Nepal (SSFN),721,Elected
149,Province 2,Saptari,Khadak Urban Municipality,Ward Member,11,68,M,Sanghiya Samajbadi Forum-Nepal (SSFN),703,Elected
150,Province 2,Saptari,Khadak Urban Municipality,Female Ward Member,11,38,F,Sanghiya Samajbadi Forum-Nepal (SSFN),736,Elected
151,Province 2,Saptari,Khadak Urban Municipality,Dalit Female Ward Member,11,45,F,Sanghiya Samajbadi Forum-Nepal (SSFN),732,Elected
152,Province 2,Saptari,Chhinnamasta Rural Municipality,Mayor,,62,M,"Naya Shakti Party, Nepal","2,805",Elected
153,Province 2,Saptari,Chhinnamasta Rural Municipality,Vice-Mayor,,43,F,"Rastriya Janata Party, Nepal","1,710",Elected
154,Province 2,Saptari,Chhinnamasta Rural Municipality,Ward President,1,35,M,Nepal Loktantric Forum,427,Elected
155,Province 2,Saptari,Chhinnamasta Rural Municipality,Ward Member,1,28,M,Nepal Loktantric Forum,420,Elected
156,Province 2,Saptari,Chhinnamasta Rural Municipality,Ward Member,1,64,M,"Rastriya Janata Party, Nepal",384,Elected
157,Province 2,Saptari,Chhinnamasta Rural Municipality,Female Ward Member,1,38,F,"Rastriya Janata Party, Nepal",407,Elected
158,Province 2,Saptari,Chhinnamasta Rural Municipality,Dalit Female Ward Member,1,29,F,Nepal Loktantric Forum,415,Elected
159,Province 2,Saptari,Chhinnamasta Rural Municipality,Ward President,2,45,M,"Naya Shakti Party, Nepal",350,Elected
160,Province 2,Saptari,Chhinnamasta Rural Municipality,Ward Member,2,44,M,"Naya Shakti Party, Nepal",374,Elected
161,Province 2,Saptari,Chhinnamasta Rural Municipality,Ward Member,2,69,M,"Naya Shakti Party, Nepal",347,Elected
162,Province 2,Saptari,Chhinnamasta Rural Municipality,Female Ward Member,2,39,F,"Naya Shakti Party, Nepal",363,Elected
163,Province 2,Saptari,Chhinnamasta Rural Municipality,Dalit Female Ward Member,2,45,F,"Naya Shakti Party, Nepal",375,Elected
164,Province 2,Saptari,Chhinnamasta Rural Municipality,Ward President,3,32,M,Independent,478,Elected
165,Province 2,Saptari,Chhinnamasta Rural Municipality,Ward Member,3,35,M,"Rastriya Janata Party, Nepal",435,Elected
166,Province 2,Saptari,Chhinnamasta Rural Municipality,Ward Member,3,63,M,"Rastriya Janata Party, Nepal",356,Elected
167,Province 2,Saptari,Chhinnamasta Rural Municipality,Female Ward Member,3,49,F,"Rastriya Janata Party, Nepal",397,Elected
168,Province 2,Saptari,Chhinnamasta Rural Municipality,Dalit Female Ward Member,3,55,F,"Rastriya Janata Party, Nepal",401,Elected
169,Province 2,Saptari,Chhinnamasta Rural Municipality,Ward President,4,55,M,Nepali Congress,302,Elected
170,Province 2,Saptari,Chhinnamasta Rural Municipality,Ward Member,4,69,M,Nepali Congress,307,Elected
171,Province 2,Saptari,Chhinnamasta Rural Municipality,Ward Member,4,44,M,Communist Party of Nepal (Maoist Centre),295,Elected
172,Province 2,Saptari,Chhinnamasta Rural Municipality,Female Ward Member,4,42,F,Nepali Congress,314,Elected
173,Province 2,Saptari,Chhinnamasta Rural Municipality,Dalit Female Ward Member,4,48,F,Nepali Congress,349,Elected
174,Province 2,Saptari,Chhinnamasta Rural Municipality,Ward President,5,35,M,Communist Party of Nepal (Maoist Centre),338,Elected
175,Province 2,Saptari,Chhinnamasta Rural Municipality,Ward Member,5,50,M,Communist Party of Nepal (Maoist Centre),318,Elected
176,Province 2,Saptari,Chhinnamasta Rural Municipality,Ward Member,5,63,M,Communist Party of Nepal (Maoist Centre),290,Elected
177,Province 2,Saptari,Chhinnamasta Rural Municipality,Female Ward Member,5,39,F,Communist Party of Nepal (Maoist Centre),325,Elected
178,Province 2,Saptari,Chhinnamasta Rural Municipality,Dalit Female Ward Member,5,68,F,Communist Party of Nepal (Maoist Centre),323,Elected
179,Province 2,Saptari,Chhinnamasta Rural Municipality,Ward President,6,40,M,"Naya Shakti Party, Nepal",443,Elected
180,Province 2,Saptari,Chhinnamasta Rural Municipality,Ward Member,6,33,M,"Naya Shakti Party, Nepal",388,Elected
181,Province 2,Saptari,Chhinnamasta Rural Municipality,Ward Member,6,51,M,"Naya Shakti Party, Nepal",331,Elected
182,Province 2,Saptari,Chhinnamasta Rural Municipality,Female Ward Member,6,47,F,"Naya Shakti Party, Nepal",415,Elected
183,Province 2,Saptari,Chhinnamasta Rural Municipality,Dalit Female Ward Member,6,48,F,"Naya Shakti Party, Nepal",418,Elected
184,Province 2,Saptari,Chhinnamasta Rural Municipality,Ward President,7,37,M,"Rastriya Janata Party, Nepal",288,Elected
185,Province 2,Saptari,Chhinnamasta Rural Municipality,Ward Member,7,48,M,"Rastriya Janata Party, Nepal",264,Elected
186,Province 2,Saptari,Chhinnamasta Rural Municipality,Ward Member,7,55,M,"Rastriya Janata Party, Nepal",253,Elected
187,Province 2,Saptari,Chhinnamasta Rural Municipality,Female Ward Member,7,36,F,"Rastriya Janata Party, Nepal",265,Elected
188,Province 2,Saptari,Chhinnamasta Rural Municipality,Dalit Female Ward Member,7,46,F,"Rastriya Janata Party, Nepal",295,Elected
189,Province 2,Saptari,Dakneshwori Urban Municipality,Mayor,,67,M,"Rastriya Janata Party, Nepal","3,880",Elected
190,Province 2,Saptari,Dakneshwori Urban Municipality,Vice Mayor,,44,F,"Rastriya Janata Party, Nepal","3,856",Elected
191,Province 2,Saptari,Dakneshwori Urban Municipality,Ward President,1,48,M,Nepali Congress,568,Elected
192,Province 2,Saptari,Dakneshwori Urban Municipality,Ward Member,1,41,M,Nepali Congress,550,Elected
193,Province 2,Saptari,Dakneshwori Urban Municipality,Ward Member,1,46,M,Nepali Congress,528,Elected
194,Province 2,Saptari,Dakneshwori Urban Municipality,Female Ward Member,1,51,F,Nepali Congress,594,Elected
195,Province 2,Saptari,Dakneshwori Urban Municipality,Dalit Female Ward Member,1,48,F,Nepali Congress,549,Elected
196,Province 2,Saptari,Dakneshwori Urban Municipality,Ward President,2,57,M,Nepali Congress,484,Elected
197,Province 2,Saptari,Dakneshwori Urban Municipality,Ward Member,2,45,M,Nepali Congress,456,Elected
198,Province 2,Saptari,Dakneshwori Urban Municipality,Ward Member,2,61,M,Nepali Congress,454,Elected
199,Province 2,Saptari,Dakneshwori Urban Municipality,Female Ward Member,2,27,F,Nepali Congress,453,Elected
200,Province 2,Saptari,Dakneshwori Urban Municipality,Dalit Female Ward Member,2,31,F,Nepali Congress,465,Elected
201,Province 2,Saptari,Dakneshwori Urban Municipality,Ward President,3,39,M,"Rastriya Janata Party, Nepal",597,Elected
202,Province 2,Saptari,Dakneshwori Urban Municipality,Ward Member,3,47,M,"Rastriya Janata Party, Nepal",587,Elected
203,Province 2,Saptari,Dakneshwori Urban Municipality,Ward Member,3,23,M,"Rastriya Janata Party, Nepal",577,Elected
204,Province 2,Saptari,Dakneshwori Urban Municipality,Female Ward Member,3,64,F,"Rastriya Janata Party, Nepal",598,Elected
205,Province 2,Saptari,Dakneshwori Urban Municipality,Dalit Female Ward Member,3,30,F,"Rastriya Janata Party, Nepal",600,Elected
206,Province 2,Saptari,Dakneshwori Urban Municipality,Ward President,4,49,M,Sanghiya Samajbadi Forum-Nepal (SSFN),222,Elected
207,Province 2,Saptari,Dakneshwori Urban Municipality,Ward Member,4,50,M,Sanghiya Samajbadi Forum-Nepal (SSFN),234,Elected
208,Province 2,Saptari,Dakneshwori Urban Municipality,Ward Member,4,61,M,Sanghiya Samajbadi Forum-Nepal (SSFN),214,Elected
209,Province 2,Saptari,Dakneshwori Urban Municipality,Female Ward Member,4,47,F,Sanghiya Samajbadi Forum-Nepal (SSFN),236,Elected
210,Province 2,Saptari,Dakneshwori Urban Municipality,Dalit Female Ward Member,4,43,F,Sanghiya Samajbadi Forum-Nepal (SSFN),237,Elected
211,Province 2,Saptari,Dakneshwori Urban Municipality,Ward President,5,61,M,"Rastriya Janata Party, Nepal",378,Elected
212,Province 2,Saptari,Dakneshwori Urban Municipality,Ward Member,5,64,M,"Rastriya Janata Party, Nepal",408,Elected
213,Province 2,Saptari,Dakneshwori Urban Municipality,Ward Member,5,46,M,"Rastriya Janata Party, Nepal",368,Elected
214,Province 2,Saptari,Dakneshwori Urban Municipality,Female Ward Member,5,39,F,"Rastriya Janata Party, Nepal",397,Elected
215,Province 2,Saptari,Dakneshwori Urban Municipality,Dalit Female Ward Member,5,27,F,"Rastriya Janata Party, Nepal",419,Elected
216,Province 2,Saptari,Dakneshwori Urban Municipality,Ward President,6,55,M,Nepali Congress,554,Elected
217,Province 2,Saptari,Dakneshwori Urban Municipality,Ward Member,6,54,M,Nepali Congress,705,Elected
218,Province 2,Saptari,Dakneshwori Urban Municipality,Ward Member,6,51,M,Nepali Congress,601,Elected
219,Province 2,Saptari,Dakneshwori Urban Municipality,Female Ward Member,6,38,F,Nepali Congress,600,Elected
220,Province 2,Saptari,Dakneshwori Urban Municipality,Dalit Female Ward Member,6,42,F,Nepali Congress,584,Elected
221,Province 2,Saptari,Dakneshwori Urban Municipality,Ward President,7,62,M,Sanghiya Samajbadi Forum-Nepal (SSFN),716,Elected
222,Province 2,Saptari,Dakneshwori Urban Municipality,Ward Member,7,37,M,Sanghiya Samajbadi Forum-Nepal (SSFN),604,Elected
223,Province 2,Saptari,Dakneshwori Urban Municipality,Ward Member,7,34,M,Sanghiya Samajbadi Forum-Nepal (SSFN),604,Elected
224,Province 2,Saptari,Dakneshwori Urban Municipality,Female Ward Member,7,41,F,Sanghiya Samajbadi Forum-Nepal (SSFN),619,Elected
225,Province 2,Saptari,Dakneshwori Urban Municipality,Dalit Female Ward Member,7,46,F,Sanghiya Samajbadi Forum-Nepal (SSFN),618,Elected
226,Province 2,Saptari,Dakneshwori Urban Municipality,Ward President,8,45,M,Sanghiya Samajbadi Forum-Nepal (SSFN),648,Elected
227,Province 2,Saptari,Dakneshwori Urban Municipality,Ward Member,8,28,M,Nepali Congress,670,Elected
228,Province 2,Saptari,Dakneshwori Urban Municipality,Ward Member,8,44,M,Sanghiya Samajbadi Forum-Nepal (SSFN),652,Elected
229,Province 2,Saptari,Dakneshwori Urban Municipality,Female Ward Member,8,42,F,Sanghiya Samajbadi Forum-Nepal (SSFN),681,Elected
